slug,title,subtitle,english_title,description,section_title,category,image,header_color,location,location_desc,facts,trivia,year
ris,Uang RIS,Uang Awal Kemerdekaan Indonesia,The Federal Republic of Indonesia’s Money,Uang RIS digunakan sebagai mata uang resmi Republik Indonesia Serikat pada tahun 1950 untuk menggantikan ORI dan ORIDA. Kehadirannya menjadi bagian penting dalam transisi sistem keuangan Indonesia pasca kemerdekaan.,Kronologi Singkat,uang-kertas,/uang_ris.png,#417031,Ruang 26 | Lantai 2,Koleksi ini dapat pada Ruangan Numismatik.,Desain setengah uang hasil guntingan tetap mempertahankan ornamen asli era kolonial. Ini menunjukkan keterbatasan sumber daya namun tetap menjaga kontinuitas ekonomi.,,1950
kacaPatri,Di bawah lindungan sang Dewa,,Under patronage of the God,"Kaca patri di rongga tangga ini menggambarkan Dewa Hermes, dewa pelindung perdagangan dalam mitologi Yunani. Dibuat oleh De Javasche Bank dan didirikan pada tahun 1828, sebagai simbol perlindungan dan kelancaran kegiatan perdagangan.",Arti di Balik Kaca Patri,kolonial,/kaca_patri.png,#5B0000,Lantai 2,"Koleksi ini berada pada Lantai 2, berada di rongga tangga.",Simbol-simbol pada kaca patri ini mencerminkan nilai-nilai penting bagi De Javasche Bank.,Kaca patri ini dibuat di Eropa dan dipasang pada masa awal berdirinya De Javasche Bank sebagai simbol identitas.,1828
uangJepang,Uang Jepang,Uang Token & Uang Invasi,The Japanese Occupation Period,"Pada masa pendudukan Jepang, pemerintah militer menerbitkan uang invasi sebagai alat pembayaran resmi di Indonesia. Uang ini digunakan untuk mengendalikan sistem ekonomi selama masa perang dan menggantikan penggunaan mata uang sebelumnya.",Kronologi Singkat,uang-kertas,/uang_jepang.png,#AF241C,Ruang 26 | Lantai 2,Koleksi ini dapat pada Ruangan Numismatik.,Sebagian uang Jepang dicetak menggunakan Bahasa Indonesia untuk menatrik simpati masyarakat lokal selama masa pendudukan.,,1942
uangPemerintah,Nasionalisasi DJB,Uang Pemerintah & Bank Indonesia,Nationalisation of DJB,"Setelah Republik Indonesia kembali menjadi negara kesatuan pada tahun 1950, pemerintah mulai mengambil alih De Javasche Bank (DJB) dan membentuk sistem moneter nasional yang berada di bawah kendali Indonesia.",Kronologi Singkat,uang-kertas,/uang_pemerintah.png,#215FA7,Ruang 26 | Lantai 2,Koleksi ini dapat pada Ruangan Numismatik.,Sebagian uang Bank Indonesia awal masih dicetak di Belanda sebelum Indonesia memiliki percetakan uang sendiri.,,1950
uangKhusus,Uang Bersambung,Uang Khusus,Uncut Banknotes,"Uang bersambung dicetak tanpa dipotong kertasnya, sehingga beberapa lembar uang tersambung menjadi satu. Koleksi ini diterbitkan salam jumlah terbatas untuk cendra mata dan koleksi resmi Bank Indonesia.",Bagaimana Uang Bersambung Dibuat?,uang-kertas,/uang_khusus.png,#AF241C,Ruang 26 | Lantai 2,Koleksi ini dapat pada Ruangan Numismatik.,"Walaupun dicetak khusus untuk koleksi, uang bersambung tetap merupakan alat pembayaran yang sah di Indonesia.","Uang rupiah bersambung dapat dibeli secara resmi melalui Bank Indonesia dan sering dijadikan koleksi, hadiah, atau mahar.",2004
uangIslam,Kerajaan Islam,Uang Era Kerajaan Di Nusantara,The Golden Era Of The Islamic Kingdoms,"Pada abad ke-15 , ketika islam berkembang di Nusantara, beredar berbagai mata uang yang dikeluarkan oleh kerajaan-kerajaan islam seperti Samudra Pasai, Aceh, Jambi, Palembang, Banten, dan Sumenep. Mata uang tersebut umumnya bertuliskan Arab.",Tentang Mata Uang Kerajaan Islam,uang-logam,/uang_islam.png,#5C0F0B,Ruang 26 | Lantai 2,Koleksi ini dapat pada Ruangan Numismatik.,Beberapa uang era kerajaan sangat dicari kolektor karena keunikannya dan menajdi bukti sejarah penting perkembangan ekonomi di Nusantara.,,Abad Ke-15
uangKolonial,Uang Gulden,Uang Era Kolonial,Gulden Money In the Archipelago,"Pada abad ke-19, pemerintah Hindia Belanda mulai memperkenalkan mata yang Gulden di Nusantara untuk menggantikan sistem pembayaran sebelumnya dan mengatur perdagangan kolonial.",Perjalanan Uang Gulden,kolonial,/uang_kolonial.png,#215FA7,Ruang 26 | Lantai 2,Koleksi ini dapat pada Ruangan Numismatik.,Beberapa uang kolonial menggunakan gambar Raja dan Ratu Belanda sebagai simbol kekuasaan di Hindia Belanda.,Nama “Gulden” berasal dari mata uang Belanda yang digunakan luas di wilayah kolonial Nusantara selama lebih dari satu abad.,Abad Ke-19
mesinCetak,Mesin Cetak ORI,,ORI Printing Machine,"Mesin cetak ini digunakan untuk mencetak ORI (Oeang Republik Indonesia), mata uang pertama Indonesia setelah kemerdekaan. Mesin ini menjadi simbol perjuangan ekonomi Indonesia di tengah kondisi perang dan keterbatasan.",Perjalanan Mesin Cetak,khusus,/mesin_uang.png,#614129,Ruang 02 | Lantai 1,Koleksi ini berada pada R.Jeda percetakan & pengedaran uang.,Mesin ini mampu mencetak sekitar 750 lembar uang per jam pada masanya.,ORI merupakan singkatan dari “Oeang Republik Indonesia”.,1946
grootBoek,Grootboek,,The Big Book,Buku besar (Grootboek) merupakan jurnal pembukuan dari De Javasche Bank pada tahun 1933 - 1934. Berisi catatan transaksi dan keuangan perusahaan yang ditulis tangan dengan sangat rapi dan teliti.,Perjalanan Grootboek,arsip,/grootboek.png,#4C3B25,Ruang 02 | Lantai 2,Koleksi ini berada pada R.Jeda percetakan & pengedaran uang.,Grootboek ditulis sepenuhnya dengan tangan. Setiap angka dan keterangan dicatat dengan sangat teliti.,"Istilah “Grootboek” berasal dari bahasa Belanda yang berarti “Buku Besar”, yaitu buku utama transaksi keuangan.",1933
emasMoneter,Emas Moneter Indonesia,,Indonesia’s Gold Reserves,Batang emas merupakan bagian dari cadangan emas De Javasche Bank yang disimpan dengan standar keamanan tinggi.,Perjalanan Cadangan Emas,khusus,/emas.png,#BC6F11,Ruang 02 | Lantai 2,Koleksi ini berada pada R.Jeda percetakan & pengedaran uang.,,"Istilah “Grootboek” berasal dari bahasa Belanda yang berarti “Buku Besar”, yaitu buku utama transaksi keuangan.",Abad Ke-19
